iso3,country,prev_period,period,dy,pct,dlog_GDP,dlog_ner,dlog_usd,dlog_empl,dlog_local_pw,GDP,prev_gdp,NER_pa_base,prev_ner,GDP_usd_pa,prev_usd,empl,prev_empl,source,prev_source,baseyear,prev_base,empl_source,cause
SLV,El Salvador,2004-Q4,2005-Q1,3.954400047038334,5116.438837513701,3.935417646242973,0.0,3.935417646242973,-0.01898240079403468,3.954400047038334,4352.14523165815,85.0302021661463,1.0,1.0,4352.14523165815,85.0302021661463,2421.2260625,2467.625741418362,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2005,2005.0,interpolated from annual,USD GDP jump dlog=3.94; local real GDP/worker jump dlog=3.95
MNE,Montenegro,2022-Q4,2023-Q1,-1.806103458975679,-83.57069341412115,-0.3366760681548788,0.0,-0.3366760681548788,1.4694273908207842,-1.8061034589756089,771.567,1080.414,1.325716666666669,1.325716666666669,1022.879231350002,1432.322846700003,1113.145,256.087,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2010,2010.0,observed quarterly,employment jump dlog=1.47; USD GDP jump dlog=-0.34; local real GDP/worker jump dlog=-1.81
SVK,Slovak Republic,2001-Q4,2002-Q1,-1.4504039837125928,-76.55244553433592,-0.08031517776154651,0.0,-0.08031517776154473,1.3700888059510428,-1.4504039837125893,10464.95120221,11340.119891619,1.3257166666667,1.3257166666667,13873.56022462352,15033.78594231788,2104.596,534.745,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2010,2010.0,observed quarterly,employment jump dlog=1.37; local real GDP/worker jump dlog=-1.45
ISR,Israel,2017-Q4,2018-Q1,-1.4071710152952206,-75.5165061352626,-0.013177994477757693,0.0,-0.01317799447775947,1.3939930208174625,-1.4071710152952224,341502.4,346032.5,0.2904945096530436,0.2904945096530436,99204.57223333756,100520.5414115168,3865.251,958.902,IMF_IFS_NA (nsa_clv),IMF_IFS_NA (nsa_clv),2020,2020.0,observed quarterly,employment jump dlog=1.39; local real GDP/worker jump dlog=-1.41
SVK,Slovak Republic,1999-Q4,2000-Q1,1.3843306052610056,299.2152684192481,-0.012919551274336527,0.0,-0.012919551274336527,-1.3972501565353355,1.3843306052609923,9980.8347216532,10110.619200977,1.3257166666667,1.3257166666667,13231.75893774134,13403.81638505556,523.646,2117.658,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2010,2010.0,observed quarterly,employment jump dlog=-1.40; local real GDP/worker jump dlog=1.38
ISR,Israel,2016-Q4,2017-Q1,1.3581645417864117,288.9048560740364,-0.022346493728916172,0.0,-0.022346493728916172,-1.380511035515327,1.3581645417864106,323957.2,331278.0,0.2904945096530436,0.2904945096530436,94107.78796257295,96234.44016884096,944.355,3755.637,IMF_IFS_NA (nsa_clv),IMF_IFS_NA (nsa_clv),2020,2020.0,observed quarterly,employment jump dlog=-1.38; local real GDP/worker jump dlog=1.36
PER,Peru,2010-Q4,2011-Q1,-1.3141554880995354,-73.12988512348717,-0.020051999169334422,0.0,-0.0200519991693362,1.2941034889301957,-1.314155488099535,97016.0,98981.0,0.3196885387248491,0.3196885387248491,31014.90327292996,31643.09125152429,16136.292,4423.66,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2007,2007.0,observed quarterly,employment jump dlog=1.29; local real GDP/worker jump dlog=-1.31
SYC,Seychelles,2016-Q4,2017-Q1,-1.238250007339735,-71.01089184290966,0.007422756862354163,0.0,0.007422756862355051,1.2456727642020877,-1.2382500073397336,5686.2382115717,5644.186909238249,0.0784496261875312,0.0784496261875312,446.0832621110557,442.7843531622976,39.281,11.303,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2014,2014.0,observed quarterly,employment jump dlog=1.25; local real GDP/worker jump dlog=-1.24
PRY,Paraguay,2009-Q4,2010-Q1,1.1178021500784006,205.8125510759363,-0.007244753038428087,0.0,-0.007244753038428087,-1.1250469031168224,1.1178021500783948,37285940.136401,37557048.4350384,0.000224105440584,0.000224105440584,8355.982041857786,8416.738886569907,925.243,2850.082752572861,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2014,2014.0,observed quarterly,empl_source interpolated from annual -> observed quarterly; employment jump dlog=-1.13; local real GDP/worker jump dlog=1.12
MNE,Montenegro,2023-Q4,2024-Q1,1.0335980698497291,181.116241844017,-0.3447585663561812,0.0,-0.3447585663561812,-1.3783566362059103,1.03359806984969,815.362,1151.005,1.325716666666669,1.325716666666669,1080.938992766669,1525.90651191667,280.504,1113.145,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2010,2010.0,observed quarterly,employment jump dlog=-1.38; USD GDP jump dlog=-0.34; local real GDP/worker jump dlog=1.03
SYC,Seychelles,2015-Q4,2016-Q1,1.028818952248535,179.7759594991104,0.04309035333201017,0.0,0.04309035333201017,-0.985728598916527,1.0288189522485371,5233.58452566033,5012.857279188111,0.0784496261875312,0.0784496261875312,410.5727496589005,393.2567796837519,10.393,27.85078357493704,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2014,2014.0,observed quarterly,empl_source interpolated from annual -> observed quarterly; employment jump dlog=-0.99; local real GDP/worker jump dlog=1.03
PRY,Paraguay,2016-Q4,2017-Q1,-0.8812035928872843,-58.57160177664876,0.02982042100973814,0.0,0.02982042100973814,0.9110240138970269,-0.8812035928872888,52064442.1021304,50534779.4645872,0.000224105440584,0.000224105440584,11667.92473605948,11325.11901672793,2732.354,1098.713,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2014,2014.0,observed quarterly,employment jump dlog=0.91; local real GDP/worker jump dlog=-0.88
DOM,Dominican Republic,2008-Q2,2008-Q3,-0.7602646154687873,-53.24573083890378,-0.06359958660037357,0.0,-0.06359958660037357,0.6966650288684084,-0.7602646154687813,364537.516570382,388475.093699706,0.0301460238041892,0.0301460238041892,10989.35665205075,11710.97942200597,3566.299660143291,1776.888,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2007,2007.0,interpolated from annual,empl_source observed quarterly -> interpolated from annual; employment jump dlog=0.70; local real GDP/worker jump dlog=-0.76
DOM,Dominican Republic,2010-Q3,2010-Q4,0.747332065995379,111.13595278521436,0.05373374514405249,0.0,0.05373374514405249,-0.6935983208513417,0.7473320659953946,425918.84565484,403636.645048398,0.0301460238041892,0.0301460238041892,12839.75965976359,12168.03990987207,1821.002,3643.647425425666,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2007,2007.0,observed quarterly,empl_source interpolated from annual -> observed quarterly; employment jump dlog=-0.69; local real GDP/worker jump dlog=0.75
DOM,Dominican Republic,2009-Q3,2009-Q4,0.7451025228698605,110.66574044725512,0.05785218570703421,0.0,0.05785218570703421,-0.6872503371628254,0.7451025228698596,395401.900610428,373176.139418066,0.0301460238041892,0.0301460238041892,11919.79510802361,11249.77678205245,1746.683,3472.826785551792,IMF_IFS_realGDP_nsa_baseyear,IMF_IFS_realGDP_nsa_baseyear,2007,2007.0,observed quarterly,empl_source interpolated from annual -> observed quarterly; employment jump dlog=-0.69; local real GDP/worker jump dlog=0.75
